MSSubClass,LotArea,OverallQual,OverallCond,TotalBsmtSF,GrLivArea,TotRmsAbvGrd,SalePrice
60,8450,7,5,856,1710,8,208500
20,9600,6,8,1262,1262,6,181500
60,11250,7,5,920,1786,6,223500
70,9550,7,5,756,1717,7,140000
60,14260,8,5,1145,2198,9,250000
50,14115,5,5,796,1362,5,143000
20,10084,8,5,1686,1694,7,307000
60,10382,7,6,1107,2090,7,200000
50,6120,7,5,952,1774,8,129900
190,7420,5,6,991,1077,5,118000
20,11200,5,5,1040,1040,5,129500
60,11924,9,5,1175,2324,11,345000
20,12968,5,6,912,912,4,144000
20,10652,7,5,1494,1494,7,279500
20,10920,6,5,1253,1253,5,157000
45,6120,7,8,832,854,5,132000
20,11241,6,7,1004,1004,5,149000
90,10791,4,5,0,1296,6,90000
20,13695,5,5,1114,1114,6,159000
20,7560,5,6,1029,1339,6,139000
60,14215,8,5,1158,2376,9,325300
45,7449,7,7,637,1108,6,139400
20,9742,8,5,1777,1795,7,230000
120,4224,5,7,1040,1060,6,129900
20,8246,5,8,1060,1060,6,154000
20,14230,8,5,1566,1600,7,256300
20,7200,5,7,900,900,5,134800
20,11478,8,5,1704,1704,7,306000
20,16321,5,6,1484,1600,6,207500
30,6324,4,6,520,520,4,68500
70,8500,4,4,649,1317,6,40000
20,8544,5,6,1228,1228,6,149350
20,11049,8,5,1234,1234,7,179900
20,10552,5,5,1398,1700,6,165500
120,7313,9,5,1561,1561,6,277500
60,13418,8,5,1117,2452,9,309000
20,10859,5,5,1097,1097,6,145000
20,8532,5,6,1297,1297,5,153000
20,7922,5,7,1057,1057,5,109000
90,6040,4,5,0,1152,6,82000
20,8658,6,5,1088,1324,6,160000
20,16905,5,6,1350,1328,5,170000
85,9180,5,7,840,884,5,144000
20,9200,5,6,938,938,5,130250
20,7945,5,6,1150,1150,6,141000
120,7658,9,5,1752,1752,6,319900
50,12822,7,5,1434,2149,6,239686
20,11096,8,5,1656,1656,7,249700
190,4456,4,5,736,1452,8,113000
20,7742,5,7,955,955,6,127000
60,13869,6,6,794,1470,6,177000
50,6240,6,6,816,1176,6,114500
90,8472,5,5,816,816,5,110000
20,50271,9,5,1842,1842,5,385000
80,7134,5,5,384,1360,6,130000
20,10175,6,5,1425,1425,7,180500
160,2645,8,5,970,1739,7,172500
60,11645,7,5,860,1720,7,196500
60,13682,10,5,1410,2945,10,438780
20,7200,5,7,780,780,4,124900
20,13072,6,5,1158,1158,5,158000
75,7200,5,7,530,1111,6,101000
120,6442,8,5,1370,1370,6,202500
70,10300,7,6,576,1710,9,140000
60,9375,7,5,1057,2034,8,219500
60,9591,8,5,1143,2473,9,317000
20,19900,7,5,1947,2207,7,180000
20,10665,7,5,1453,1479,7,226000
30,4608,4,6,747,747,4,80000
50,15593,7,4,1304,2287,7,225000
20,13651,7,6,2223,2223,8,244000
20,7599,4,6,845,845,4,129500
60,10141,7,5,832,1718,7,185000
20,10200,5,7,1086,1086,6,144900
50,5790,3,6,840,1605,8,107400
180,1596,4,5,462,988,5,91000
20,8475,4,7,952,952,4,135750
50,8635,5,5,672,1285,6,127000
90,10778,4,5,1768,1768,8,136500
50,10440,5,6,440,1230,5,110000
60,13000,6,6,896,2142,8,193500
120,4500,6,5,1237,1337,5,153500
20,10206,8,5,1563,1563,6,245000
